Iteration,Host,IP Source,IP Destination,Flow Label,Is,Number,Timestamp (seconds-Unix Epoch),Nº pkt out of order,Out of order packets,DSCP,Avg Jitter (Nanoseconds)
10,h8_1,2001:1:8::1,2001:1:1::1,1,sender,3000,1745355005.099116,,,0,
10,h2_1,2001:1:2::1,2001:1:3::1,1,sender,3000,1745355005.090397,,,0,
10,h3_1,2001:1:3::1,2001:1:7::3,1,sender,15000,1745355005.090896,,,35,
10,h2_2,2001:1:2::2,2001:1:8::2,1,sender,15000,1745355005.088645,,,35,
10,h1_2,2001:1:1::2,2001:1:7::1,1,sender,30000,1745355005.091749,,,34,
10,h5_1,2001:1:5::1,2001:1:7::2,1,sender,30000,1745355005.090306,,,34,
10,h3_1,2001:1:3::1,2001:1:8::3,1,sender,15000,1745355005.091652,,,35,
10,h7_1,2001:1:1::2,2001:1:7::1,1,receiver,9675,1745355005.3036542,17,"[431, 660, 726, 782, 1711, 1977, 2360, 2378, 2603, 2606, 3250, 5880, 6107, 6859, 6982, 7702, 7857]",34,30997571.156622525
10,h8_2,2001:1:2::2,2001:1:8::2,1,receiver,9674,1745355005.3507402,112,"[10, 17, 34, 62, 132, 168, 172, 234, 248, 260, 263, 268, 307, 347, 363, 396, 552, 643, 655, 657, 661, 671, 675, 706, 721, 761, 772, 820, 862, 867, 866, 904, 984, 1076, 1078, 1144, 1192, 1195, 1307, 1322, 1339, 1674, 1713, 1715, 1718, 1750, 1939, 2012, 2125, 2153, 2155, 2158, 2176, 2243, 2246, 2274, 2352, 2379, 2415, 2439, 2515, 2539, 2607, 2627, 2631, 2634, 2691, 2724, 2835, 2844, 2915, 3031, 3211, 3427, 3454, 3675, 3952, 4082, 4300, 4366, 4401, 4472, 4687, 4788, 4790, 5159, 5349, 5382, 5405, 5552, 5944, 6092, 6125, 6302, 6965, 7072, 7171, 7174, 7337, 7415, 7438, 7514, 7586, 7868, 7872, 8883, 9063, 9250, 9291, 9331, 9735, 9753]",35,30999311.440637186
10,h8_3,2001:1:3::1,2001:1:8::3,1,receiver,9561,1745355005.2851217,15,"[265, 651, 854, 855, 857, 1072, 1712, 2583, 2902, 2940, 3532, 5029, 5754, 7396, 8661]",35,31368529.94247933
10,h7_2,2001:1:5::1,2001:1:7::2,1,receiver,9596,1745355005.2222862,10,"[258, 264, 660, 858, 1070, 1890, 2359, 2598, 2602, 2605]",34,31258460.008486878
10,h7_3,2001:1:3::1,2001:1:7::3,1,receiver,9568,1745355005.2262545,6,"[660, 862, 981, 1563, 2584, 2589]",35,31349014.353792027
10,h1_1,2001:1:8::1,2001:1:1::1,1,receiver,2957,1745355005.2923915,10,"[266, 584, 663, 863, 864, 866, 1514, 2499, 2594, 2597]",0,27123938.713035036
10,h3_1,2001:1:2::1,2001:1:3::1,1,receiver,2967,1745355005.266317,1,[855],0,27080502.460249607
